cve_id,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity,cloud_component,vulnerability_category
CVE-2021-27104,accellion,FTA,Accellion FTA OS Command Injection Vulnerability,03-11-2021,Accellion FTA 9_12_370 and earlier is affected by OS command execution via a crafted POST request to various admin endpoints.,Apply updates per vendor instructions.,17-11-2021,16-02-2021,9.8,CWE-78,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2021-27102,accellion,FTA,Accellion FTA OS Command Injection Vulnerability,03-11-2021,Accellion FTA 9_12_411 and earlier is affected by OS command execution via a local web service call.,Apply updates per vendor instructions.,17-11-2021,16-02-2021,7.8,CWE-78,LOCAL,LOW,HIGH,IaaS,Network
CVE-2021-27101,accellion,FTA,Accellion FTA SQL Injection Vulnerability,03-11-2021,Accellion FTA 9_12_370 and earlier is affected by SQL injection via a crafted Host header in a request to document_root.html.,Apply updates per vendor instructions.,17-11-2021,16-02-2021,9.8,CWE-89,NETWORK,LOW,CRITICAL,IaaS,Data
CVE-2021-27103,accellion,FTA,Accellion FTA SSRF Vulnerability,03-11-2021,Accellion FTA 9_12_411 and earlier is affected by SSRF via a crafted POST request to wmProgressstat.html.,Apply updates per vendor instructions.,17-11-2021,16-02-2021,9.8,CWE-918,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2021-21017,adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-based Buffer Overflow Vulnerability,03-11-2021,"Acrobat Reader DC versions versions 2020.013.20074 (and earlier), 2020.001.30018 (and earlier) and 2017.011.30188 (and earlier) are affected by a heap-based buffer overflow vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,17-11-2021,11-02-2021,8.8,CWE-787,NETWORK,LOW,HIGH,SaaS,Application
CVE-2021-28550,adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability,03-11-2021,"Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,17-11-2021,02-09-2021,8.8,CWE-416,NETWORK,LOW,HIGH,SaaS,Application
CVE-2018-4939,adobe,ColdFusion,Adobe ColdFusion Deserialization of Untrusted Data vulnerability,03-11-2021,"Adobe ColdFusion Update 5 and earlier versions, ColdFusion 11 Update 13 and earlier versions have an exploitable Deserialization of Untrusted Data vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,03-05-2022,19-05-2018,9.8,CWE-502,NETWORK,LOW,CRITICAL,Management and Governance,Data
CVE-2018-15961,adobe,ColdFusion,Adobe ColdFusion Remote Code Execution,03-11-2021,"Adobe ColdFusion versions July 12 release (2018.0.0.310739), Update 6 and earlier, and Update 14 and earlier have an unrestricted file upload vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,03-05-2022,25-09-2018,9.8,CWE-434,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2018-4878,adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,03-11-2021,A use-after-free vulnerability was discovered in Adobe Flash Player before 28.0.0.161. This vulnerability occurs due to a dangling pointer in the Primetime SDK related to media player handling of listener objects. A successful attack can lead to arbitrary code execution. This was exploited in the wild in January and February 2018.,The impacted product is end-of-life and should be disconnected if still in use.,03-05-2022,06-02-2018,9.8,CWE-416,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2020-5735,amcrest,Cameras and Network Video Recorder (NVR),Amcrest Camera and NVR Buffer Overflow Vulnerability,03-11-2021,Amcrest cameras and NVR are vulnerable to a stack-based buffer overflow over port 37777. An authenticated remote attacker can abuse this issue to crash the device and possibly execute arbitrary code.,Apply updates per vendor instructions.,03-05-2022,08-04-2020,8.8,CWE-787,NETWORK,LOW,HIGH,IaaS,Application
CVE-2019-2215,android,Android OS,"Android ""AbstractEmu"" Root Access Vulnerabilities",03-11-2021,,Apply updates per vendor instructions.,03-05-2022,11-10-2019,7.8,CWE-416,LOCAL,LOW,HIGH,Management and Governance,IAM
